county,state,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Perry County,Ohio,"Report 2450: While hiking with friends, eleven year old girl almost runs into 6' hairy creature",39.78594,-82.29162,1978-06-01,2450.0,Class A,dpj6r6v1fk,87.41,76.59,65.77,59.89,0.65,0.35,0.87,0.0,0.0,,1015.51,Partly cloudy throughout the day.,7.0,8.04,220.0,3.73
Ottawa County,Ohio,Report 14223: Possible night time sighting by hunters in a marsh near Port Clinton,41.48962,-83.06976999999998,1974-04-20,14223.0,Class B,dpkuj8yqw1,67.98,58.685,49.39,31.19,0.53,0.32,0.93,0.0,0.0,,1025.48,Partly cloudy throughout the day.,5.0,9.24,160.0,7.43
Noble County,Ohio,"Report 8086: A series of large, human-like footprints are found on a farm near Wayne National Forest",39.63382,-81.40079,1958-01-15,8086.0,Class B,dpn17xjg8p,34.0,29.995,25.99,31.17,0.93,1.0,0.86,0.0067,1.0,snow,1011.09,Light snow (< 1 in.) starting in the afternoon.,1.0,2.62,344.0,10.12
Muskingum County,Ohio,Report 44066: Night fishermen recall possible encounters near Dillon State Park,40.04603,-82.14536,1995-03-11,44066.0,Class B,dpjefdpt43,60.91,48.64,36.37,29.01,0.56,0.12,0.32,0.0,0.0,,1027.87,Clear throughout the day.,5.0,9.33,209.0,7.74
Morrow County,Ohio,Report 1625: Children have daytime close encounter near Sparta; UPDATED with Witness Sketch,40.38609,-82.69884,1977-06-01,1625.0,Class A,dpjjy0hd12,77.47,65.935,54.4,50.96,0.52,0.51,0.49,0.0,0.0,,1006.95,Breezy until evening and partly cloudy throughout the day.,8.0,9.35,262.0,12.71
Montgomery County,Ohio,Report 12789: Night time sighting by resident near Germantown,39.61205,-84.36754,1988-09-14,12789.0,Class B,dph125jkvv,76.48,65.47,54.46,52.67,0.67,0.06,0.11,0.0,0.0,,1019.4,Clear throughout the day.,6.0,8.17,348.0,3.51
Monroe County,Ohio,Report 4961: Nightime sighting on SR 78 near Woodsfield,39.75531,-81.02917,1994-02-15,4961.0,Class B,dpn6hjhr7q,47.82,37.48,27.14,23.9,0.55,0.43,0.16,0.0,0.0,,1022.25,Partly cloudy throughout the day.,3.0,9.36,243.0,10.01
Miami County,Ohio,"Report 257: Mother describes possible observations by children near Tipp City, along Miami River",39.9784,-84.1735,2000-09-01,257.0,Class B,dph5ktfep3,84.95,77.31,69.67,70.7,0.82,0.34,0.12,0.0001,0.15,rain,1015.81,Humid and partly cloudy throughout the day.,5.0,8.24,92.0,2.66
Medina County,Ohio,"Report 8587: A childhood encounter just outside of Wadsworth, Ohio",41.02572,-81.77677,1976-09-01,8587.0,Class A,dpmc7hebph,72.7,64.155,55.61,57.99,0.76,0.78,0.27,0.0002,0.29,rain,1018.12,Overcast throughout the day.,4.0,7.75,234.0,5.17
Mahoning County,Ohio,Report 4959: Nightime sighting at a Lake Milton marina,41.1174,-80.9835,1972-08-01,4959.0,Class A,dpq3vjjw5w,80.14,73.37,66.6,62.91,0.77,0.7,0.72,0.0001,0.12,rain,1019.9,Foggy in the morning.,6.0,4.51,224.0,5.9
Madison County,Ohio,Report 10330: Two motorists have a lengthy sighting along SR56 near the Madison and Clark County line.,39.96627,-83.51394,2003-02-18,10330.0,Class A,dphe7eeh2h,33.49,31.215000000000003,28.94,22.99,0.85,0.99,0.56,0.0004,0.54,snow,1021.2,Overcast throughout the day.,2.0,6.11,230.0,9.6
Lorain County,Ohio,"Report 7830: Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found",41.38274000000001,-82.12263,1967-07-01,7830.0,Class B,dpme7m2puj,87.2,76.86,66.52,62.87,0.64,0.29,0.8,0.0,0.0,,1012.18,Mostly cloudy starting in the afternoon.,9.0,6.62,218.0,7.67
Lorain County,Ohio,"Report 49813: Woman remembers being shocked to see a running, hairy biped in her backyard in Elyria",41.40985,-82.11171999999998,1985-08-15,49813.0,Class A,dpmeed2jf5,79.95,72.92500000000003,65.9,67.38,0.84,0.88,0.97,0.0396,1.0,rain,1014.23,"Heavy rain starting in the afternoon, continuing until evening.",5.0,5.36,236.0,3.93
Lorain County,Ohio,Report 4957: Hunter has dusk sighting in Oberlin area,41.27939,-82.21939,1987-10-15,4957.0,Class B,dpmdc49tvk,64.16,56.23,48.3,36.4,0.55,0.3,0.78,0.0,0.0,,1024.6,Partly cloudy until afternoon.,3.0,8.97,191.0,3.77
Mahoning County,Ohio,Report 23125: Large creature dragging a dead animal crosses road south of North Jackson,41.05304,-80.51186,1998-07-01,23125.0,Class A,dpq9xcmp39,76.61,65.185,53.76,58.67,0.74,0.36,0.25,0.0,0.0,,1010.2,Partly cloudy until afternoon.,8.0,9.0,300.0,7.93
Mahoning County,Ohio,Report 26709: Young man recalls encounter behind his house and close to the Meander Creek Reservoir,41.09087,-80.77592,2001-09-30,26709.0,Class A,dpq9cbkg8t,64.83,53.395,41.96,42.58,0.71,0.08,0.44,0.0,0.0,,1024.71,Clear throughout the day.,4.0,9.93,14.0,6.45
Mahoning County,Ohio,Report 25724: Possible sighting at dusk on family property outside Youngstown,41.12884,-80.85831999999998,2006-04-01,25724.0,Class B,dpq9bp2bbe,53.17,47.15000000000001,41.13,44.15,0.77,0.96,0.12,0.0029,0.51,rain,1013.29,Overcast throughout the day.,4.0,9.02,266.0,10.21
Mahoning County,Ohio,Report 27613: Woman recounts nighttime sighting of a small bigfoot outside her home near Beloit,40.95818,-80.97507,2009-08-12,27613.0,Class A,dpq3j25y8n,77.34,69.235,61.13,63.38,0.78,0.45,0.71,0.0003,0.16,rain,1016.88,Partly cloudy until evening.,7.0,7.59,359.0,5.27
Mahoning County,Ohio,Report 40715: Possible daylight sighting by a passenger traveling along I-80 over the Meander Creek Reservoir,41.11447,-80.14099,2012-03-24,40715.0,Class B,dpr1bkej5s,61.34,55.88500000000001,50.43,55.16,0.88,0.86,0.07,0.0138,1.0,rain,1011.47,Mostly cloudy throughout the day.,4.0,7.91,114.0,4.9
Medina County,Ohio,Report 4960: Sighting by motorists along Poe Rd,41.09302,-81.82391,1978-09-30,4960.0,Class B,dpmcf0c8hw,77.67,67.44,57.21,53.7,0.74,0.5,0.94,0.0353,1.0,rain,1016.75,Heavy rain starting in the evening.,4.0,4.9,190.0,9.64
Medina County,Ohio,Report 10729: Driver encounters an unknown hairy biped just outside of Medina.,41.12012,-81.81317,1992-09-20,10729.0,Class A,dpmcfm9qnc,69.69,65.835,61.98,48.22,0.7,0.42,0.78,0.0,0.0,,1017.13,Mostly cloudy starting in the afternoon.,5.0,9.86,142.0,6.13
Medina County,Ohio,Report 8778: A possible sighting of the River Styx monster crossing a small clearing,41.06019000000001,-81.79669,2000-10-01,8778.0,Class A,dpmcddv2yy,72.18,63.665000000000006,55.15,52.31,0.72,0.35,0.13,0.0,0.0,,1018.21,Partly cloudy until evening.,4.0,7.8,182.0,8.48
Medina County,Ohio,Report 7973: A young teen sees a hairy creature on the family farm while riding his bike.,41.06648,-81.96419,2001-09-25,7973.0,Class A,dpm9wggmxf,47.52,45.285,43.05,42.86,0.88,0.98,0.29,0.0179,0.85,rain,1014.59,Overcast throughout the day.,3.0,8.69,266.0,11.32
Medina County,Ohio,Report 6330: A man standing on his back porch watches a large hair covered creature run down the railroad tracks and jump down into the brush,41.03,-82.0101,2003-05-01,6330.0,Class A,dpm9mv6144,75.41,63.37,51.33,57.19,0.77,0.47,0.01,0.0098,0.84,rain,1010.29,Rain starting in the evening.,8.0,7.23,208.0,6.03
Medina County,Ohio,Report 42022: Possible nighttime encounter near Spencer leaves three men startled,41.11417,-82.07824000000002,2013-04-13,42022.0,Class B,dpm9uk87qk,42.78,38.13,33.48,32.73,0.73,0.92,0.11,0.0005,0.41,rain,1013.27,Mostly cloudy throughout the day.,4.0,9.78,248.0,12.57
Medina County,Ohio,Report 41774: Woman is startled after seeing a face with yellow eyes peering into her kitchen window near Valley City,41.22248,-81.91615999999998,2013-06-25,41774.0,Class B,dpmdxbq6r5,85.88,76.875,67.87,66.97,0.73,0.25,0.58,0.035,0.74,rain,1013.92,Heavy rain starting in the afternoon.,9.0,8.59,236.0,7.46
Miami County,Ohio,"Report 7718: Four teens camping hear grunting or snorting, observe creature walk from corn field into the woods",39.89172,-84.14493,2003-09-03,7718.0,Class A,dph4vnpd15,77.45,70.375,63.3,66.15,0.87,0.73,0.25,0.0026,0.19,rain,1015.66,Mostly cloudy until evening.,5.0,6.24,266.0,4.27
Miami County,Ohio,Report 33979: Witness has numerous encounters and collects physical evidence over a seven month period near Christianburg,40.04342000000001,-84.04518,2009-02-06,33979.0,Class A,dph5z98jv6,47.81,42.285,36.76,17.82,0.61,0.08,0.39,0.0,0.0,,1024.57,Clear throughout the day.,3.0,9.46,185.0,7.21
Montgomery County,Ohio,Report 9766: Motorist has a brief daylight sighting at the edge of Huber Heights,39.8494,-84.15971,2004-08-15,9766.0,Class B,dph4sykg8d,73.31,61.75,50.19,53.48,0.74,0.33,0.98,0.0001,0.06,rain,1025.05,Partly cloudy throughout the day.,7.0,8.19,341.0,3.45
Montgomery County,Ohio,Report 26369: Late night sighting by motorists north of Germantown,39.63662,-84.36874,2005-02-15,26369.0,Class A,dph12pss1c,64.63,49.395,34.16,39.41,0.7,0.22,0.24,0.0001,0.08,rain,1014.93,Mostly cloudy overnight.,3.0,8.68,195.0,8.5
Montgomery County,Ohio,,,,,41676.0,Class B,,,,,,,,,,,,,,,,,
Morrow County,Ohio,"Report 3293: Three fox hunters witness a ""Freak of nature bear"" step over a fence and walk into a thicket.",40.4764,-82.80256999999997,1978-01-01,3293.0,Class A,dpjn7b9007,35.36,24.995,14.63,26.03,0.82,0.95,0.73,0.0072,1.0,snow,1012.15,Snow (1–2 in.) in the morning and evening and breezy starting in the afternoon.,1.0,4.44,254.0,6.97
Morrow County,Ohio,Report 8944: Mini-bike rider has afternoon encounter near Fulton,40.46339,-82.82576,1978-06-20,8944.0,Class A,dpjn5q0h7f,82.6,75.3,68.0,61.45,0.7,0.4,0.48,0.0,0.0,,1017.71,Mostly cloudy throughout the day.,8.0,6.59,173.0,5.24
Morrow County,Ohio,Report 9537: Two Motorists Have An Early Evening Sighting North of Mt. Gilead,40.5896,-82.82214,2002-08-15,9537.0,Class A,dpjngm4g83,83.64,77.88499999999998,72.13,70.12,0.83,0.54,0.26,0.0087,0.78,rain,1017.38,Mostly cloudy until evening.,6.0,7.44,203.0,8.31
Morrow County,Ohio,Report 10863: Two young men have a sighting while tending a campfire near Cardington.,40.50945,-82.87663,2005-01-13,10863.0,Class A,dpjn6ne0ds,63.92,43.965,24.01,46.26,0.76,0.59,0.12,0.0178,1.0,rain,1007.43,Breezy until afternoon and rain starting in the afternoon.,1.0,8.55,200.0,10.78
Morrow County,Ohio,,,,,40580.0,Class B,,,,,,,,,,,,,,,,,
Muskingum County,Ohio,"Report 6722: Woman observes a sasquatch behind her fence near Zanesville, Ohio.",39.90416,-81.98721,2003-07-26,6722.0,Class A,dpjen26dxd,83.28,77.58500000000002,71.89,63.41,0.76,0.12,0.91,0.0018,0.78,rain,1023.1,Partly cloudy in the afternoon.,8.0,6.67,213.0,5.43
Muskingum County,Ohio,Report 50393: Two deer hunters experience a likely week-long encounter near Nashport,40.01209,-82.13298,2015-12-01,50393.0,Class B,dpjee5bx6f,57.19,47.885,38.58,48.4,0.95,0.38,0.7,0.0053,0.75,rain,1012.78,Clear throughout the day.,1.0,5.76,191.0,2.63
Noble County,Ohio,Report 374: Two women driving to work are surprised to see a very large hair covered biped running along the side of their car.,39.88653,-81.27131999999997,1977-02-01,374.0,Class A,dpn4yth5bu,17.98,10.845,3.71,4.01,0.67,0.73,0.41,0.0,0.0,,1020.32,Mostly cloudy throughout the day.,2.0,8.07,250.0,12.43
Noble County,Ohio,Report 12597: Night encounter near rural home outside Crooked Tree,39.64081,-81.47081,1982-06-19,12597.0,Class B,dpn1d06u2w,71.76,61.075,50.39,57.95,0.81,0.61,0.93,0.0008,0.33,rain,1009.37,Foggy in the morning.,6.0,4.53,269.0,4.0
Noble County,Ohio,Report 4962: Hunter states that vocalizations heard near Batesville are identical to recordings on BFRO site,39.93154000000001,-81.28671,1988-08-01,4962.0,Class B,dpn5nm2f46,90.4,80.765,71.13,66.5,0.7,0.49,0.63,0.0,0.0,,1018.95,Partly cloudy throughout the day.,6.0,6.35,190.0,3.18
Perry County,Ohio,Report 6313: A family witness's a hairy humanlike face in the cars headlights while pulled off the side of the road,39.64193,-82.1013,2003-05-11,6313.0,Class A,dpj9e8xdvp,71.6,61.325,51.05,56.51,0.72,0.64,0.33,0.0036,0.87,rain,1002.95,Breezy and mostly cloudy throughout the day.,8.0,9.19,233.0,14.06
Pike County,Ohio,Report 5977: A brief encounter with a light colored hair covered creature,39.10611,-83.0363,2000-05-01,5977.0,Class A,dnuyqrnc9g,73.04,60.40000000000001,47.76,47.7,0.68,0.42,0.91,0.0136,0.75,rain,1015.36,Rain starting in the evening.,8.0,8.33,224.0,5.08
Pike County,Ohio,Report 43407: Possible daytime road crossing on SR 32 near Jasper,39.05922,-83.07491999999998,2013-12-24,43407.0,Class B,dnuyjwd8qn,21.12,18.23,15.34,11.99,0.7,0.13,0.72,0.0001,0.1,snow,1032.69,Clear throughout the day.,2.0,8.93,296.0,6.97
Portage County,Ohio,Report 4968: Tracks found along soybean field near Edinburgh,41.10715,-81.1414,1970-11-01,4968.0,Class B,dpq3ce6ds2,57.99,51.76000000000001,45.53,46.65,0.86,0.91,0.08,0.0029,0.39,rain,1022.53,Overcast throughout the day.,1.0,6.16,141.0,0.89
Portage County,Ohio,"Report 4966: Large footprints, area of matted grass and sounds of bipedal footsteps noted along shores of Aurora Lake",41.31405,-81.38112,1976-08-01,4966.0,Class B,dpq5h0upf3,72.15,62.01000000000001,51.87,54.1,0.67,0.42,0.2,0.0,0.0,,1015.19,Partly cloudy until evening.,7.0,9.84,359.0,8.87
Portage County,Ohio,Report 4969: Silhouette seen protruding above brushline near Mogadore Reservoir.,41.06499,-81.3741,1983-07-31,4969.0,Class B,dpq1s79hyh,81.21,76.13499999999998,71.06,68.68,0.79,0.87,0.71,0.0486,0.69,rain,1017.83,"Heavy rain until afternoon, starting again in the evening.",5.0,4.01,193.0,6.74
Portage County,Ohio,Report 12736: Student hears vocalization near the Cuyahoga River,41.15845,-81.33134,1986-04-16,12736.0,Class B,dpq4jk8m67,40.02,39.045,38.07,32.09,0.83,0.95,0.23,0.0054,0.9,rain,1012.15,Rain overnight.,4.0,6.88,306.0,7.86
Portage County,Ohio,Report 40040: Man recalls possible sighting while driving at night next to the Ravenna Arsenal,41.18518,-81.03764,1986-07-15,40040.0,Class B,dpq67cw1n4,79.61,73.005,66.4,57.37,0.71,0.24,0.28,0.0,0.0,,1020.57,Partly cloudy starting in the afternoon.,9.0,9.7,95.0,1.41
Portage County,Ohio,Report 7832: A man has heard similar cries in the night for over 15 years that were noted in another BFRO report from the same location,41.16187,-81.37181,1987-07-01,7832.0,Class B,dpq4hm6c72,70.79,66.725,62.66,62.89,0.93,0.93,0.17,0.0354,1.0,rain,1017.21,"Heavy rain until afternoon, starting again in the evening.",6.0,4.39,110.0,4.52
Portage County,Ohio,Report 28820: Man recounts sighting from his teens near Edinburg,41.15384,-81.1124,1994-02-12,28820.0,Class A,dpq645zf2p,37.71,33.53,29.35,22.82,0.8,0.84,0.07,0.0006,0.81,snow,1021.47,Mostly cloudy throughout the day.,2.0,7.71,123.0,5.46
Portage County,Ohio,Report 5259: While driving to a job a man witness's an unknown eight foot tall biped cross the road,41.2599,-81.1455,1995-10-01,5259.0,Class B,dpq69rpskf,77.42,66.75,56.08,55.01,0.71,0.23,0.25,0.0,0.0,,1014.96,Partly cloudy until evening and breezy in the afternoon.,4.0,9.27,188.0,10.84
Portage County,Ohio,Report 4967: Loud vocalizations and other noises heard late at night near railroad tracks.,41.17646,-81.32425,1997-04-15,4967.0,Class B,dpq4jrvqr8,56.06,49.17,42.28,26.27,0.48,0.34,0.28,0.0001,0.11,rain,1025.1,Partly cloudy until evening.,6.0,9.9,198.0,4.54
Portage County,Ohio,Report 982: Tracks found in West Branch State Park,41.13021,-81.11578,1999-08-15,982.0,Class B,dpq3fpt2c6,73.85,63.655,53.46,56.91,0.75,0.44,0.15,0.0001,0.11,rain,1020.56,Partly cloudy until evening.,6.0,9.53,15.0,5.24
Portage County,Ohio,Report 359: Daylight sighting by motorcyclist near Atwater,40.98596,-81.11641999999998,2000-08-01,359.0,Class A,dpq34jkbd2,80.59,73.49000000000002,66.39,66.65,0.8,0.46,0.06,0.0112,0.31,rain,1015.01,Rain in the evening.,7.0,6.5,211.0,7.95
Portage County,Ohio,"Report 7224: Ongoing Encounters with ""Fang"" on old family land",41.13356,-81.17155,2003-10-10,7224.0,Class A,dpq60bhsmg,72.07,62.295,52.52,57.18,0.79,0.54,0.52,0.0014,0.61,rain,1020.63,Mostly cloudy until evening.,3.0,7.3,107.0,4.67
Portage County,Ohio,Report 5406: A family is hearing howling behind their home identical to the howls on the BFRO website,41.3235,-81.22745,2003-11-02,5406.0,Class B,dpq5pdeyz4,71.71,63.105,54.5,57.93,0.86,0.72,0.3,0.0015,0.54,rain,1022.03,Mostly cloudy throughout the day.,2.0,5.59,206.0,6.47
Portage County,Ohio,Report 23980: Woman recounts possible night time encounter near Mogadore,41.05931,-81.3654,2008-06-11,23980.0,Class B,dpq1s6xebf,82.44,73.88499999999998,65.33,57.32,0.62,0.14,0.28,0.0001,0.09,rain,1019.57,"Partly cloudy starting in the afternoon, continuing until evening.",9.0,9.7,228.0,2.62
Portage County,Ohio,,,,,39037.0,Class B,,,,,,,,,,,,,,,,,
Portage County,Ohio,Report 31000: Possible night time encounter while fishing near Atwater,41.13183,-81.11617,2009-06-17,31000.0,Class B,dpq3fpv420,72.46,67.565,62.67,63.28,0.87,0.85,0.81,0.0383,0.86,rain,1011.59,Rain until evening.,6.0,6.92,160.0,5.27
Portage County,Ohio,,,,,28730.0,Class B,,,,,,,,,,,,,,,,,
Portage County,Ohio,Report 31246: Possible nightime encounter while fishing at Mogadore Reservoir,41.06194,-81.36305,2011-08-17,31246.0,Class B,dpq1se15ps,81.66,72.365,63.07,55.73,0.64,0.14,0.62,0.0,0.0,,1019.58,Partly cloudy starting in the afternoon.,7.0,9.73,193.0,4.07
Preble County,Ohio,Report 4972: Vocalizations heard by fisherman on Twin Creek,39.64146,-84.48506,1978-09-01,4972.0,Class B,dp5ct2xb5r,77.02,65.955,54.89,56.04,0.73,0.32,0.96,0.0,0.0,,1022.33,Partly cloudy throughout the day.,6.0,7.23,65.0,3.24
Preble County,Ohio,"Report 45280: Family going fishing find a large, strange footprint in a sandbar near Gratis",39.65625,-84.51191999999998,2014-06-07,45280.0,Class B,dp5csghq3s,80.62,73.245,65.87,51.73,0.57,0.04,0.31,0.0003,0.07,rain,1015.03,Partly cloudy overnight.,11.0,9.74,133.0,3.42
Richland County,Ohio,Report 7425: A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines,40.92276,-82.44400999999998,1958-11-01,7425.0,Class A,dpm2gcy077,52.95,47.99,43.03,38.49,0.77,0.72,0.65,0.0012,0.34,rain,1015.14,Mostly cloudy throughout the day.,2.0,7.46,36.0,6.58
Richland County,Ohio,Report 4974: Vocalizations heard near Clearfork Reservoir,40.74705,-82.64864,1996-07-01,4974.0,Class B,dpjpz3c0g0,84.21,73.845,63.48,62.28,0.62,0.0,0.52,0.0,0.0,,1014.07,Clear throughout the day.,11.0,9.99,333.0,5.46
Richland County,Ohio,Report 4973: Tracks and vocalizations lead to sighting by trappers in Bellville area,40.61236,-82.48699,1998-09-01,4973.0,Class A,dpjr4cqb1u,77.31,68.995,60.68,55.26,0.69,0.33,0.33,0.0,0.0,,1013.98,Partly cloudy throughout the day.,7.0,9.84,239.0,1.68
Licking County,Ohio,Report 4953: Family has sighting on farm along Headleys Mill Road,40.00915,-82.67251999999998,1968-08-01,4953.0,Class A,dpj5werwnw,78.66,70.265,61.87,66.12,0.79,0.93,0.25,0.107,1.0,rain,1016.54,Mostly cloudy throughout the day.,6.0,6.17,306.0,2.9
Lawrence County,Ohio,"Report 7940: Bother and sister are followed by a brown, hairy creature walking on two legs",38.54852,-82.66615999999998,1980-08-25,7940.0,Class A,dnv5qcs36u,84.27,73.935,63.6,65.5,0.79,0.32,0.48,0.0,0.0,,1021.01,Foggy in the morning.,7.0,4.88,85.0,2.55
Lake County,Ohio,Report 4731: A woman sitting on a bench in a park sees a large hairy creature behind a four foot wall staring at her,41.7164,-81.1438,1981-07-01,4731.0,Class A,dpqm3d0zsk,81.79,73.98,66.17,61.93,0.67,0.63,0.99,0.0,0.0,,1021.01,Mostly cloudy in the morning.,9.0,6.99,98.0,7.85
Jefferson County,Ohio,Report 6848: Human-like footprints are found around a garage heading back into a remote hollow,40.34042,-80.64211,1978-12-01,6848.0,Class B,dpntkzwpyx,46.27,39.725,33.18,21.57,0.65,0.21,0.05,0.0,0.0,,1017.66,Partly cloudy starting in the evening.,2.0,8.95,187.0,6.24
Huron County,Ohio,"Report 11248: A series of sound reports, footprint finds and a sighting from a family living near New London.",41.0672,-82.41861,1999-08-01,11248.0,Class B,dpm3ss09g0,82.54,73.11500000000002,63.69,65.78,0.72,0.43,0.64,0.0056,0.82,rain,1013.4,Partly cloudy until evening.,8.0,8.74,354.0,6.26
Holmes County,Ohio,"Report 3381: A group of canoers see a large, black creature along the river bank",40.59935,-82.23988,1997-07-03,3381.0,Class A,dpjwbwfsrg,77.61,70.275,62.94,62.02,0.72,0.38,0.96,0.0,0.0,,1006.02,"Partly cloudy throughout the day and breezy starting in the afternoon, continuing until evening.",8.0,9.69,261.0,11.82
Hocking County,Ohio,"Report 8394: Family has encounters with a large, hair covered creature just on the edge of Wayne National Forest",39.48219,-82.32669,1979-05-01,8394.0,Class A,dpj2wee83j,59.42,49.485,39.55,32.24,0.56,0.12,0.17,0.0,0.0,,1023.54,Partly cloudy in the morning.,9.0,9.57,357.0,2.65
Harrison County,Ohio,Report 4950: Sighting by camper in Harrison County near Tappan Lake,40.33345,-81.26559,1998-05-30,4950.0,Class B,dpnjqy2pqs,81.93,75.71000000000002,69.49,62.38,0.74,0.5,0.17,0.0026,0.17,rain,1014.74,Partly cloudy throughout the day.,8.0,7.44,238.0,2.35
Hardin County,Ohio,"Report 4760: Young man see's a ""huge hairy ape looking thing"" under a bridge on the Scioto River",40.6445,-83.6118,2002-07-18,4760.0,Class A,dphx1r5erg,88.01,79.515,71.02,70.28,0.76,0.23,0.3,0.0,0.0,,1014.23,Partly cloudy until afternoon.,9.0,4.5,251.0,5.22
Hancock County,Ohio,Report 4458: Father and son hear screams identical to the one on the BFRO website.,41.14896,-83.43666999999998,1994-06-01,4458.0,Class B,dpkdj6gq0d,68.53,57.105,45.68,46.39,0.58,0.26,0.76,0.0004,0.31,rain,1014.12,Partly cloudy throughout the day.,9.0,9.69,300.0,7.66
Greene County,Ohio,Report 4498: Late afternoon sighting by motorist on I-675 near Beavercreek,39.74961,-84.09158000000002,2002-06-01,4498.0,Class A,dph4nknqk0,83.72,73.965,64.21,65.27,0.77,0.39,0.71,0.0028,0.77,rain,1009.0,Light rain overnight.,9.0,6.68,239.0,6.05
Geauga County,Ohio,,,,,20259.0,Class B,,,,,,,,,,,,,,,,,
Fairfield County,Ohio,Report 7936: Three people driving slow down to witness a dark biped walking toward the wood line near the Rock Mill Wildlife area,39.74107,-82.70263,2000-06-29,7936.0,Class A,dpj4n49u90,75.48,63.82,52.16,55.73,0.72,0.29,0.92,0.0031,0.32,rain,1013.65,Partly cloudy until evening.,9.0,9.29,290.0,6.19
Erie County,Ohio,"Report 4299: Two men training a hunting dog hear a loud, deep scream then briefly witness a large hairy thing cross a small clearing",41.42364,-82.82491,2000-10-29,4299.0,Class B,dpm5ekbwpw,52.56,44.225,35.89,33.06,0.7,0.07,0.08,0.0,0.0,,1030.08,Clear throughout the day.,3.0,9.29,24.0,6.79
Erie County,Ohio,Report 38725: Possible footprints found by a tree trimming crew on a road near Norwalk,41.17222,-82.34181,2013-01-02,38725.0,Class B,dpm6nr0t8f,21.75,15.9,10.05,11.29,0.79,0.47,0.67,0.0,0.0,,1022.53,Partly cloudy throughout the day.,1.0,8.86,235.0,6.2
Fairfield County,Ohio,Report 8450: Property owners hear loud vocalizations in early morning and have a possible sighting near Clearcreek Metro Park,39.5246,-82.6353,2004-04-03,8450.0,Class B,dpj0ze4z3z,58.58,47.03,35.48,34.91,0.67,0.63,0.43,0.0003,0.34,rain,1009.18,Mostly cloudy throughout the day and breezy starting in the evening.,6.0,8.97,289.0,10.61
Fairfield County,Ohio,Report 28499: Possible bigfoot activity and interesting photos taken at Clear Creek Park,39.59947,-82.63535999999998,2010-10-09,28499.0,Class B,dpj1r8fg8s,82.91,66.805,50.7,43.71,0.58,0.0,0.07,0.0,0.0,,1016.81,Clear throughout the day.,4.0,9.91,255.0,3.3
Franklin County,Ohio,Report 14646: Fisherman Observes White Creature Swimming in Antrim Lake,40.08159000000001,-83.0337,1987-05-15,14646.0,Class A,dphun88snt,69.16,56.1,43.04,50.68,0.66,0.46,0.58,0.0015,0.53,rain,1019.98,Mostly cloudy until afternoon.,10.0,7.54,15.0,8.23
Franklin County,Ohio,Report 4557: Saturday morning sighting by a motorist on William's Road,39.89203,-83.00142,1997-06-01,4557.0,Class A,dphfzq05yt,73.33,68.25999999999999,63.19,63.19,0.92,0.93,0.87,0.035,1.0,rain,1006.24,Rain in the morning.,6.0,6.71,70.0,7.87
Gallia County,Ohio,"Report 3686: Another nighttime incident near Hoadley, off Hoadley Road (Wayne Nat. For.)",38.79833,-82.54968000000002,1998-05-25,3686.0,Class A,dnvk9x10th,72.34,64.09,55.84,61.98,0.82,0.41,0.99,0.0019,0.65,rain,1013.09,Partly cloudy throughout the day.,9.0,6.12,263.0,5.88
Gallia County,Ohio,"Report 3767: Late night sighting in Wayne National Forest, off Hoadley Road",38.79381,-82.55176999999998,1998-09-03,3767.0,Class A,dnvk9qpwk6,82.3,70.765,59.23,54.67,0.67,0.18,0.4,0.0,0.0,,1010.1,Partly cloudy in the morning.,6.0,8.71,350.0,1.4
Gallia County,Ohio,Report 28912: Motorist traveling near the Ohio River has bigfoot sighting outside Chesire,38.9264,-82.14285,2011-02-22,28912.0,Class A,dnvt6y36sy,35.18,32.01,28.84,29.32,0.92,0.96,0.66,0.0006,0.4,snow,1018.56,Overcast throughout the day.,2.0,7.86,1.0,3.73
Geauga County,Ohio,"Report 8836: Brothers have sighting in their backyard during the ""Blizzard of 1978.""",41.44442,-81.20629,1978-02-05,8836.0,Class A,dpq7b0erhr,20.14,11.75,3.36,9.48,0.81,0.93,0.93,0.0034,1.0,snow,1024.37,Snow (1–2 in.) in the morning and evening.,2.0,3.8,356.0,3.09
Geauga County,Ohio,Report 3301: Daytime sighting in a wooded area a few miles east of Interstate 271,41.47349000000001,-81.3726,1980-08-15,3301.0,Class A,dpq5uq428f,75.21,66.47,57.73,63.41,0.76,0.82,0.15,0.004,0.89,rain,1014.65,Mostly cloudy throughout the day.,5.0,8.26,351.0,6.94
Geauga County,Ohio,Report 3248: Bainbridge (Chagrin Falls) Ohio resident reports multiple sightings,41.39803,-81.33974,2001-10-26,3248.0,Class A,dpq5t061n8,40.26,38.035,35.81,30.56,0.7,0.99,0.33,0.0082,1.0,rain,1012.61,"Breezy throughout the day and light rain starting in the afternoon, continuing until evening.",2.0,8.67,257.0,21.98
